set_name,theme_name,year
2016 Ford GT & 1966 Ford GT40,Speed Champions,2017
4x4 with Catamaran,City,2017
A-Wing,Star Wars Rebels,2017
A-Wing Starfighter,Star Wars,2017
Aaron's Stone Destroyer,Nexo Knights,2017
Air Race Jet,Technic,2017
Aira's Airship & the Amulet Chase,Elves,2017
Andrea and Stephanie's Beach Holiday,Juniors,2017
Andrea's Musical Duet,Friends,2017
Animal - Beaver,Pick A Model,2017
Anna & Elsa's Frozen Playground,Juniors,2017
Anna's Snow Adventure,Disney Princess,2017
Arkham Asylum,Batman,2017
Assembly Square,Modular Buildings,2017
ATM Heist Battle,Marvel,2017
ATV Arrest,Police,2017
ATV Race Team,Traffic,2017
Auto Transport Heist,Police,2017
Ayesha's Revenge,Guardians of the Galaxy,2017
Bane" Toxic Truck Attack,Batman,2017
Barbara Gordon™,Batman,2017
Batcave Break-in,Batman,2017
Batgirl,Brickheadz,2017
Batgirl Batjet Chase,Super Heroes,2017
Batman,Brickheadz,2017
Batman vs. Mr. Freeze,Juniors,2017
Battle Dwarf,Series 17 Minifigures,2017
Battle on Scarif,Star Wars Rogue One,2017
Battle Suit Aaron,Nexo Knights,2017
Battle Suit Axl,Nexo Knights,2017
Battle Suit Clay,Nexo Knights,2017
Battle Suit Lance,Nexo Knights,2017
Battle Suit Macy,Nexo Knights,2017
Baze Malbus,Star Wars,2017
Beachside Vacation,Creator,2017
Bear in Ice Cave foil pack,Friends,2017
Beast,Brickheadz,2017
Belle,Brickheadz,2017
Berry's Kitchen,Disney Princess,2017
Beware the Vulture,Marvel,2017
Black Widow,Brickheadz,2017
Blue Creative Box,Classic,2017
Blue Express,Creator,2017
BMW R 1200 GS Adventure,Technic,2017
Bounty Hunter Speeder Bike" Battle Pack,Star Wars,2017
Brick Calendar,Gear,2017
Bugatti Chiron,Speed Champions,2017
Buggy,Traffic,2017
Bulldozer Break-In,Police,2017
Bumblebee Helicopter,Super Heroes,2017
Butterfly Girl,Series 17 Minifigures,2017
Captain America,Brickheadz,2017
Captain America Jet Pursuit,Marvel,2017
Captain Armando Salazar,Brickheadz,2017
Captain Jack Sparrow,Brickheadz,2017
Carousel,Creator,2017
Catman™,Batman,2017
Catwoman Catcycle Chase,Batman,2017
Chicago,Skylines,2017
Chirrut Îmwe,Star Wars,2017
Circus Strong Man,Series 17 Minifigures,2017
Clan of the Cave Batman™,Batman,2017
Clay and Training Stand,Nexo Knights,2017
Clay's Falcon Fighter Blaster,Nexo Knights,2017
Clayface Splat Attack,Batman,2017
Clayface" Splat Attack,Batman,2017
Combo NEXO Powers Wave 1,Nexo Knights,2017
Commissioner Gordon™,Batman,2017
Connoisseur,Series 17 Minifigures,2017
Container Yard,Technic,2017
Corn Cob Guy,Series 17 Minifigures,2017
Creative Box,Classic,2017
Creative Builder Box,Classic,2017
Dance Instructor,Series 17 Minifigures,2017
Darth Vader" Transformation,Planet Series 3,2017
Dawn of Iron Doom,Ninjago,2017
Demolition Site,Juniors,2017
Desert Lightning,Ninjago,2017
Desert Skiff Escape,Star Wars,2017
Destiny's Shadow,Ninjago,2017
Dick Grayson™,Batman,2017
Digger,Pick A Model,2017
Disco Batman - Tears of Batman,Batman,2017
Dragon's Forge,Ninjago,2017
Dragster Transporter,City,2017
Duel on Naboo,Star Wars Episode 1,2017
Easter Egg Hunt -2017,Easter,2017
Elf-Girl,Series 17 Minifigures,2017
Elsa's Magical Ice Palace,Disney Princess,2017
Elves Roblin Bag Charm,Elves,2017
Emma's Photo Studio,Friends,2017
Emma's Pool Slide,Friends,2017
Fairy Batman™,Batman,2017
Ferrari FXX K & Development Center,Speed Champions,2017
Fire Car,Fire,2017
Fire Patrol Suitcase,Juniors,2017
First Order Transport Speeder Battle Pack,Star Wars Episode 8,2017
Fishing Boat,City,2017
Flash Speeder,Star Wars,2017
Friends Tic-Tac-Toe,Friends,2017
Glam Metal Batman™,Batman,2017
Gourmet Chef,Series 17 Minifigures,2017
Green Creative Box,Classic,2017
Gymnastic Bar,Friends,2017
Heartlake Gift Delivery,Friends,2017
