name,max,color
12V,2468,Black
12V,143,Light Gray
4 Juniors,48,White
4.5V,3231,Black
4.5V,124,Blue
9V,39,Dark Bluish Gray
9V,4105,Black
Advent,132,Red
Advent Sub-Set,172,Red
Adventurers,9,Black
Agents,1391,Black
Agori,14,Black
Airjitzu,250,Black
Airport,2014,White
Airport,131,White
Airport,3105,Black
Airport,118,Red
Airport,127,Red
Airport,117,White
Airport,433,Black
Airport,820,White
Airport,25,Red
Airport,315,White
Airport,2542,White
Alien Conquest,497,Light Bluish Gray
Alpha Team,293,Black
An Unexpected Journey,665,Reddish Brown
Angry Birds,559,Light Bluish Gray
Animals,137,White
Aquanauts,469,Yellow
Aquaraiders I,235,Black
Aquaraiders II,738,Black
Aquasharks,283,Black
Aquazone,9,Chrome Silver
Architecture,4646,White
Arctic,234,Black
Arctic,494,Light Bluish Gray
Arctic Technic,380,Light Gray
Atlantis,1156,Black
Avatar,391,Dark Bluish Gray
Avengers,1995,Black
Barraki,85,Black
Basic,6077,Red
Basic Model,327,Black
Basic Model,271,Red
Basic Set,12339,Red
Basic Set,335,Red
Basic Set,1155,Red
Basic Set,6406,Red
Basketball,333,Red
Batman,7638,Black
Battle Vehicles,1270,Black
Belville,6,White
Belville,6,Pink
Belville,54,White
Ben 10,17,Dark Blue
Bionicle,132,Blue
Bionicle,132,Green
Bionicle,955,Black
Bionicle,132,Red
Black Falcons,669,Light Gray
Black Knights,865,Black
Blacktron I,1577,Black
Blacktron II,728,Black
Boat,109,White
Boat,1067,White
Bohrok,115,Black
Bohrok Va,170,Black
Bohrok-Kal,66,Light Gray
Books,336,Black
Brickheadz,355,Black
Bricktober,243,Trans-Clear
Building,218,Blue
Building,235,White
Building,2810,Tan
Building,863,Red
Building,14,Yellow
Building,885,White
Building Set with People,1244,Red
Building Set with People,272,Red
Bulk Bricks,1462,Black
Cargo,607,Black
Cargo,72,Black
Cargo,260,Black
Cargo,75,Black
Cargo,80,Yellow
Cars,32,Black
Cars,1183,Black
Castle,74,Black
Castle,35,Dark Gray
Castle,86,Black
Castle,1032,Black
Castle,25,Light Gray
Castle,222,White
Castle,37,Light Bluish Gray
Chamber of Secrets,513,Black
Christmas,2083,White
City,100,Black
City,1919,Black
City,412,White
Classic,187,White
Classic,569,White
Classic Basic,2360,Red
Classic Basic,49,White
Classic Castle,1112,Yellow
Classic Space,3076,Light Gray
Classic Town,8,Red
Clikits,502,Trans-Dark Pink
Clikits,31,Trans-Dark Pink
Coast Guard,745,White
Coast Guard,51,White
Coast Guard,488,White
Coast Guard,189,Black
Coast Guard,85,Red
Collectible Minifigures,75,Yellow
Competition,3140,Black
Constraction,242,Black
Constraction,90,Black
Construction,13186,Black
Construction,1791,Yellow
Construction,70,Red
Construction,927,Black
Construction,47,Yellow
Construction,181,Yellow
Construction,797,Yellow
Construction,78,White
Control Lab,1,Black
Control Lab,1,Dark Gray
Cowboys,792,Black
Creator,580,Red
Creator,6130,White
Creator,59,Black
Creator,301,White
Creator,193,White
Creature,722,Black
Creature,92,Black
Crusaders,283,Light Gray
Dark Forest,301,Black
Desert,696,Black
Designer Sets,1796,Black
DFB Minifigures,47,White
Dimensions,1147,Black
Dino,452,Yellow
Dino 2010,465,Black
Dino Attack,364,Black
Dino Island,404,Light Gray
Dinosaurs,81,Light Gray
Discovery,893,Light Gray
Disney,1157,White
Disney,29,Black
Disney Princess,1102,White
Disney's Mickey Mouse,104,Red
Divers,886,Black
Drome Racers,1717,Black
Duplo,1292,Red
Easter,380,Yellow
Educational and Dacta,1986,Yellow
eLAB,293,Black
Elves,1015,Black
EV3,776,Black
Exo-Force,3373,Black
Expert Builder,3311,Light Gray
Exploriens,743,White
Extreme Team,525,Black
Fabuland,911,Yellow
Factory,2515,Black
Fairy-Tale,691,White
Fantasy Era,1593,Light Bluish Gray
Farm,49,Red
Farm,50,Blue
Farm,302,Black
Farm,1381,Black
Ferrari,5255,Red
Ferries,2159,White
Fire,131,Red
Fire,167,White
Fire,1034,Black
Fire,52,Black
Fire,86,Red
Fire,234,Red
Fire,508,Red
Fire,2118,Red
Fire,1951,Red
Fire,175,Red
Fire,53,Red
FIRST LEGO League,8150,Black
Food & Drink,3,White
Food & Drink,643,White
Food & Drink,36,Red
Forestmen,497,Black
Freestyle,3277,Yellow
Friends,149,White
Friends,92,White
Friends,7217,White
Fright Knights,422,Light Gray
Fusion,113,Tan
Futuron,1299,White
Galaxy Squad,774,Black
Game,2220,Black
Gas Station,196,Black
Gas Station,12,White
Gas Station,192,White
Gas Station,39,Yellow
Gear,534,White
Gears,454,Red
Ghostbusters,117,Black
Glatorian,86,Black
Glatorian Legends,91,Black
Goblet of Fire,434,Black
Golden Land,80,Dark Pink
Gravity Games,143,White
Guardians of the Galaxy,463,Black
Halloween,362,Black
Harbor,852,White
Harbor,116,Black
Harbor,451,Black
Harbor,272,White
Harbor,182,Red
Harbor,70,Black
Harbor,603,Black
Harbor,42,Yellow
Harry Potter,1578,Black
Hero Factory,412,Black
Heroes,627,Black
HO 1:87 Vehicles,24,Black
Hobby Sets,1907,Black
Hockey,421,Black
Holiday,114,Brown
Homemaker,1532,White
Hospital,601,White
Hospital,88,White
Hospital,91,Yellow
Hospital,426,White
Hospital,602,White
Hydronauts,325,Black
Ice Planet 2002,337,Blue
Imperial Armada,251,Black
Imperial Soldiers,397,Black
Indians,371,Black
Insectoids,498,Black
Inventor,274,Black
Iron Man,139,Black
Island Xtreme Stunts,291,Black
Islanders,386,Black
Jumbo Bricks,13,Blue
Jungle,256,Light Gray
Jungle,213,Black
Jungle Rescue,250,Reddish Brown
Juniors,568,White
Jurassic Park III,91,Black
Jurassic World,609,Dark Bluish Gray
Justice League,322,Black
Key Chain,10,White
Kingdom of the Crystal Skull,541,Dark Bluish Gray
Kingdoms,1089,Light Bluish Gray
Knights Kingdom I,621,Black
Knights Kingdom II,1691,Black
Lamborghini,675,Black
Last Crusade,203,Light Bluish Gray
Launch Command,355,White
Learning,428,White
Legend Beasts,123,White
Legends of Chima,3377,Black
LEGO Brand Store,1415,Black
LEGO Exclusive,6,Black
LEGO Ideas and CUUSOO,1837,Light Bluish Gray
Legoland,199,White
Legoland Parks,504,Yellow
Life On Mars,483,Light Gray
Lion Knights,777,Light Gray
M:Tron,657,Black
Mars Mission,1727,Black
Marvel,605,Black
Master Building Academy,2225,Black
Matoran of Light,19,Dark Bluish Gray
Matoran of Mahri Nui,53,Black
Matoran of Mata Nui,61,Black
Matoran of Metru Nui,66,Dark Bluish Gray
Matoran of Voya Nui,34,Black
Mindstorms,836,Black
Minecraft,2303,Light Bluish Gray
Mini,29,Red
Mini,377,Light Bluish Gray
Mini,708,Light Bluish Gray
Minifig Pack,4,Black
Minitalia,691,Red
